b,19485.32000000
B,0.05564000
a,19485.33000000
A,0.03566000
o,19127.06000000
h,19676.96000000
l,19101.00000000
v,240773.37504000
q,4668615448.78787620
O,1665945373319
C,1666031773319
F,1978194588
L,1983683407
n,5488820
,0
e,24hrTicker
E,1666031774322
s,BTCUSDT
p,360.17000000
P,1.883
w,19390.08350814
x,19127.31000000
c,19487.50000000
Q,0.00032000
b,19487.20000000
B,0.02000000
a,19487.49000000
A,0.02506000
o,19127.33000000
h,19676.96000000
l,19101.00000000
v,240777.24290000
q,4668690846.69101270
O,1665945374318
C,1666031774318
F,1978194597
L,1983683484
n,5488888
,0
e,24hrTicker
E,1666031775322
s,BTCUSDT
p,359.28000000
P,1.878
w,19390.08379915
x,19127.33000000
c,19486.57000000
Q,0.02000000
b,19486.53000000
B,0.02000000
a,19487.46000000
A,0.00904000
o,19127.29000000
h,19676.96000000
l,19101.00000000
v,240777.90236000
q,4668703703.74399110
O,1665945375321
C,1666031775321
F,1978194599
L,1983683517
n,5488919
,0
e,24hrTicker
E,1666031776321
s,BTCUSDT
p,360.67000000
P,1.886
w,19390.08506082
x,19127.32000000
c,19487.72000000
Q,0.07046000
b,19487.18000000
B,0.05030000
a,19487.67000000
A,0.01204000
o,19127.05000000
h,19676.96000000
l,19101.00000000
v,240780.93976000
q,4668762902.97007580
O,1665945376319
C,1666031776319
F,1978194602
L,1983683645
n,5489044
,0
e,24hrTicker
E,1666031777307
s,BTCUSDT
p,360.90000000
P,1.887
w,19390.08539442
x,19126.81000000
c,19488.03000000
Q,0.02977000
b,19488.04000000
B,0.00956000
a,19488.42000000
A,0.00601000
o,19127.13000000
h,19676.96000000
l,19101.00000000
v,240781.15707000
q,4668767196.95340990
O,1665945377305
C,1666031777305
F,1978194610
L,1983683682
n,5489073
,0
e,24hrTicker
E,1666031778323
s,BTCUSDT
p,362.76000000
P,1.897
w,19390.08773598
x,19127.18000000
c,19490.33000000
Q,0.02000000
b,19490.24000000
B,0.06657000
a,19490.33000000
A,0.03304000
o,19127.57000000
h,19676.96000000
l,19101.00000000
v,240785.57544000
q,4668853433.33992730
O,1665945378320
C,1666031778320
F,1978194645
L,1983683824
n,5489180
,0
e,24hrTicker
E,1666031779323
s,BTCUSDT
p,362.44000000
P,1.895
w,19390.08983554
x,19127.16000000
c,19489.60000000
Q,0.00061000
b,19489.21000000
B,0.02529000
a,19490.11000000
A,0.00560000
o,19127.16000000
h,19676.96000000
l,19101.00000000
v,240790.21295000
q,4668943860.62016630
O,1665945379310
C,1666031779310
F,1978194667
L,1983683918
n,5489252
,0
e,24hrTicker
E,1666031780308
s,BTCUSDT
p,362.38000000
P,1.895
w,19390.09078477
x,19127.13000000
c,19489.38000000
Q,0.12565000
b,19489.26000000
B,0.02663000
a,19489.59000000
A,0.43304000
o,19127.00000000
h,19676.96000000
l,19101.00000000
v,240792.37045000
q,4668985923.30554030
O,1665945380163
C,1666031780163
F,1978194683
L,1983683998
n,5489316
,0
e,24hrTicker
E,1666031781323
s,BTCUSDT
p,362.75000000
P,1.897
w,19390.09311918
x,19126.89000000
c,19490.02000000
Q,0.06454000
b,19489.45000000
B,0.00109000
a,19490.06000000
A,0.00056000
o,19127.27000000
h,19676.96000000
l,19101.00000000
v,240797.95409000
q,4669094752.71392870
O,1665945381319
C,1666031781319
F,1978194689
L,1983684119
n,5489431
,0
e,24hrTicker
E,1666031782323
s,BTCUSDT
p,363.03000000
P,1.898
w,19390.09429387
x,19127.38000000
c,19490.13000000
Q,0.00102000
b,19490.01000000
B,0.25827000
a,19490.33000000
A,0.02054000
o,19127.10000000
h,19676.96000000
l,19101.00000000
v,240797.51214000
q,4669086466.12375400
O,1665945382323
C,1666031782323
F,1978194768
L,1983684150
n,5489383
